299,175,0
300,173,2.285191536
294,173,2.314228296
300,170,2.346772194
304,170,2.378172398
306,169,2.408425808
309,165,2.440028906
311,164,2.478565693
310,165,2.52246356
311,163,2.552185535
313,161,2.592097998
313,160,2.628855944
311,161,2.666564226
314,161,2.707679033
314,160,2.730614185
314,160,2.780659676
317,160,2.831010103
316,161,2.880363226
315,160,2.924500227
314,160,2.951430321
311,164,2.985593081
311,168,3.023601532
317,166,3.069022417
322,156,3.131742001
336,147,3.199277163
333,146,3.23734355
334,151,3.287524223
333,150,3.324510336
330,150,3.362372637
329,153,3.391294718
330,153,3.42021656
331,153,3.481279373
331,156,3.519761324
324,159,3.559475183
317,161,3.59214282
313,164,3.626787424
312,170,3.67813158
310,177,3.722261667
303,184,3.774245262
304,188,3.822549582
302,187,3.888156176
303,188,3.931332827
303,186,3.981318474
304,187,4.030253887
307,185,4.074290991
307,184,4.121816158
310,183,4.157279253
311,176,4.189773798
317,170,4.240695
323,161,4.28626132
345,161,4.331096649
348,151,4.380307436
348,146,4.429760933
348,142,4.478359938
351,141,4.521630287
350,141,4.571674824
351,142,4.634250879
350,140,4.686806917
347,144,4.734587908
342,152,4.78132534
328,160,4.832128525
325,164,4.877881289
320,169,4.923902273
306,177,4.99138546
308,182,5.038345337
306,183,5.085523844
304,184,5.129484415
303,184,5.179886818
300,190,5.229964018
292,189,5.278184652
292,191,5.321754932
288,195,5.386375427
294,189,5.438182354
295,185,5.48508358
296,181,5.537427187
300,175,5.582346201
301,171,5.625276327
303,170,5.676566124
305,168,5.740572929
303,172,5.79107666
295,178,5.837669611
285,182,5.886352777
282,185,5.934795618
280,189,5.981510401
277,194,6.030934095
271,199,6.078823805
271,206,6.142700195
268,211,6.18974185
266,215,6.23883605
266,215,6.286003113
266,216,6.329576731
267,216,6.381650209
270,215,6.426114321
268,213,6.491166115
272,212,6.520090342
275,202,6.552003622
281,195,6.586373806
285,185,6.637829065
296,175,6.686533213
307,164,6.735697508
309,154,6.781351328
310,155,6.826343536
312,153,6.862883568
311,153,6.896286726
317,154,6.942165613
319,156,6.990209341
318,159,7.035297155
316,163,7.086339712
301,168,7.129513979
304,176,7.181749105
288,206,7.24289465
276,218,7.289446354
276,219,7.340773344
275,221,7.385566235
278,222,7.438350677
275,224,7.486137152
278,221,7.53044939
287,213,7.581826925
302,190,7.655882835
309,189,7.689807892
317,166,7.722231865
340,136,7.75459981
344,126,7.790001392
345,121,7.843797207
345,132,7.893947363
319,179,7.934708834
318,179,7.994469881
298,213,8.037806988
276,250,8.07517314
262,270,8.11554718
252,286,8.147447348
242,307,8.187603951
235,312,8.238054276
226,315,8.295031309
217,317,8.329235554
217,319,8.397933006
216,326,8.425324678
212,337,8.457448959
213,338,8.490580559
215,335,8.54299593
216,334,8.588303804
